dateres,mpnumber,rec_acres,new_units,parcelct,shape_area,pet_no,dev_type,desc_lpd,objectid,unit_price,petitioner,rehab_unit,netarea,orig_fid,nezname,inactive,gen_bound,Shape__Area,Shape__Length
2004/11/17 00:00:00+00,1970/01/01 00:00:00+00,144.07,126,892,155.53,,new,60 houses & 66 condo's (new),70,low/mod & market rate,"Phoenix Group Consultants, Inc./Core City Neighborhood Org.",,100.32,0,Core City,,"n-Forest, e-Grand River, s-MLK & Magnolia, w-18th",1151421.00390625,6155.45140261233
2004/11/17 00:00:00+00,1970/01/01 00:00:00+00,7.89,275,15,10.68,,new,275 condo's (new),71,market rate,Orton Development Inc. from California,,5.52,0,Orton Development,1,"general: n-W. Grand, e-Cass, s-railroad, w-2nd",80492.47265625,1812.20212154877
2004/11/17 00:00:00+00,1970/01/01 00:00:00+00,47.41,132,85,51.49,,new,132 townhouses (new),72,"$140,000",Northstar CDC/Phoenix Consultants/Castle Constructon,,21.17,0,Petosky Park,1,"n-north side of Boston, e-alley 1st west of Linwood, s-parts of n & s sides of Chicago, w-alley 1st east of Dexter & Dexter",381552.046875,3148.41778880552
2004/11/17 00:00:00+00,1970/01/01 00:00:00+00,8.35,86,11,8.11,,new,86 townhouses (new),73,"$130,000-$200,000",Silvercup JV LLC (St. Paul CDC & D.P.G. Silvercup,,5.47,0,Silvercup Redevelopment,1,"n-Hunt, e-Chene, s-Vernor, w-Dubois",60083.6484375,986.616945332226
2005/01/05 00:00:00+00,1970/01/01 00:00:00+00,21.64,88,142,24.42,,mix,"70 houses (new), 18 townhomes (new), 10 houses (rehab)",74,"$90,000-$100,000, $140,000-$180,000",People First Community Outreach/NPHC,10,15.52,0,College Park,,"n-curtis, e-east side of Ferguson, s-W. Outer Dr., w-Lindsay",181226.8203125,2173.85651214768
2006/10/13 00:00:00+00,1970/01/01 00:00:00+00,7.71,120,70,9.42,,new,24 houses (new) /96 townhouses,75,"$200,000",Strather and Associates and Amandla (Fellowship Chapel),,6.48,0,Village Estates,1,"Map: n-Santa Maria and 1 block toward Outer Dr., e-east side Biltmore, s-alley north of McNichols, w-west side Lindsay. Legal description: Santa Maria, Biltmore, McNichols, Lindsay",69926.79296875,1062.01408731935
2005/01/12 00:00:00+00,1970/01/01 00:00:00+00,21.74,332,707,136.13,,mix,"70 condos (rehab), 140 senior units (rehab), 180 condos (new), 60 lofts (new), 92 townhouses (new)",76,market rate and low/mod,"Phoenix Group Consultants, Inc",210,79.11,1,East Village Amended,,"Former Whittier site and area to north, south, and west",1008322.2109375,9145.30854432954
2005/03/02 00:00:00+00,1970/01/01 00:00:00+00,4.5,,7,6.4,,rehab,242 converted condos from rental units. $15m investment.,77,"$72,000-$315,000",Park Shelton LLC,242,3.86,0,Park Shelton,,"n-Ferry, e-John R, s-E. Kirby, w-Woodward",47413.109375,893.046490405291
2005/04/15 00:00:00+00,1970/01/01 00:00:00+00,2.27,,45,3.07,,rehab,42 lofts (rehab),78,"$112,000-$148,000",5766 Trumbull LLC (Chadd Fox of Ferndale),,2.27,0,Research Lofts (on Trumbull Avenue),,"n-railroad, e-Lincoln, s-Elijah McCoy, w-Trumbull",22721.5234375,655.362041210481
2005/05/04 00:00:00+00,1970/01/01 00:00:00+00,13.98,,74,13.24,,new,30 houses (new),79,"$159,000",Original New Grace Missionary Baptist Church,,7.59,0,Farrington Estates,1,"n-Annin, e-Bauman, s-Bryson, w-1st alley east of Woodward",98293.24609375,1374.38355015797
2005/05/18 00:00:00+00,1970/01/01 00:00:00+00,4.21,,20,5.59,,new,1 house (new)/ 15 townhomes (new),80,"$250,000-$400,000",Griggs Group,,4.08,0,Green Acres,,"n-W. Eight, e-Woodward, s-Woodstock, w-Queenston",41513.578125,898.439242910333
2005/06/01 00:00:00+00,1970/01/01 00:00:00+00,2.58,,15,2.59,,rehab,11 condos (rehab),81,"$400,000",Vinton Building LLC (R. Scott Martin of Detroit),,,0,Vinton Building,1,"600 Woodward/(n-Cadillac Square, s-Congress, w-Woodward)",19131.14453125,685.366682309407
2005/07/01 00:00:00+00,0204/05/01 00:00:00+00,32.19,66,31,35.68,,new,66 townhouses & flats (new),82,"$189,900-$249,000",Du Charme Place LLC (Walter Cohen of Southfield),,30.97,1,Du Charme Place,1,"n-Lafayette, e-Orleans, s-Larned, w-Rivard",264114.0859375,2170.33813011641
2005/07/01 00:00:00+00,1970/01/01 00:00:00+00,51.8,327,113,52.16,,new,43 houses (new)/284 condos (new),83,"$185,000-$1.5 million",Morgan Development LLC,,15.67,0,Morgan Waterfront Estates,,"n-Freud, e-Lycaste, s-Detroit River, w-St. Jean",386373.65625,3024.13193311678
2005/07/06 00:00:00+00,1970/01/01 00:00:00+00,38.76,30,294,40.65,,mix,30 houses (new)/2 houses (rehab),84,"$60,000-$159,000",Sacred Heart/St. Elizabeth CDC,2,22,0,Sacred Heart/St. Elizabeth,1,"n-Forest, e-east side of McDougall, s-Superior, w-west side of Grandy",301154.15234375,2210.73578060972
2005/09/14 00:00:00+00,0208/05/01 00:00:00+00,1.49,39,10,2.71,,new,39 townhouses (new),85,"$239,000",Petit Bateau LLC,,1.93,1,Art Center,1,"n-Kirby, e-St. Antoine, s-Frederick, w-Beaubien",20089.5390625,714.598898296579
2005/09/14 00:00:00+00,0206/05/01 00:00:00+00,109.41,104,835,117.69,,mix,104 houses (new)/33 houses (rehab),86,"$120,000-$150,000",Triad Development Co. (KDR & Associates out of Detroit),33,77.56,1,Triad Development,1,"n-Nevada, e-Dequindre, s-E. McNichols, w-Chrysler",873514.546875,3929.20207215951
2005/09/21 00:00:00+00,1970/01/01 00:00:00+00,3.62,,6,3.71,,mix,195 lofts (rehab) & houses (new),87,"$170,000",Eddystone Development LLC (Jim Wickenheiser),195,,0,Eddystone Lofts,1,"Hotel Eddystone & Sal. Army Harbor Light/(n-north side of Sproat, e-Park, s-Sibley, w-Clifford)",27461.234375,711.765157179725
2005/10/19 00:00:00+00,0203/05/01 00:00:00+00,7.41,,28,9.7,,rehab,16 condos (rehab),88,"$150,000-$175,000","1001 Covington LLC/Joseph Brophy of Birmingham, MI",16,6.77,1,1001 Covington,,"n-Covington, e-Third, s-Whitmore, w-Manderson",71993.59765625,1455.76682819538
2005/10/19 00:00:00+00,1970/01/01 00:00:00+00,1.34,60,,1.16,,mix,60 condo/townhouse/loft (new & rehab),89,"$116,000-$280,000",Greater Corktown Devolopment Corp.,,,0,Amended West Corktown,1,southeast corner of Michigan and 14th,8586.546875,411.526345520078
2005/10/19 00:00:00+00,0202/05/01 00:00:00+00,14.89,390,49,17.58,,mix,390 condos (new & rehab),90,"$170,000",The Hubbell Group LLC/Marquette Companies,,6.24,1,South University Village,,"Graybar Bldg in part/(n-Forest, e-Woodward, s-Willis, w-Cass)",130162.43359375,1759.29945540639
2005/11/18 00:00:00+00,0213/05/01 00:00:00+00,3.49,217,23,4.93,,mix,217 units (new & rehab),91,"$120,000-$350,000",3100 Woodward LLC (Dwight Belyue of Detroit),,4.47,1,3100 Woodward,,"n-Erskine, e-John R, s-Watson, w-Woodward",36510.5625,805.169115682397
2005/11/18 00:00:00+00,0212/05/01 00:00:00+00,3.41,10,31,4.05,,new,10 houses (new),92,"$115,000-$145,000",Church of the Messiah Housing Corp.,,2.57,1,Bellevue Village,,"n-St. Paul, s-Agnes, east and west sides of Helen",30024.51953125,739.99137700801
2005/11/18 00:00:00+00,0211/05/01 00:00:00+00,8.15,79,27,10.19,,mix,79 condos(new & rehab),93,"$166,000-$350,000",Garfield Development Group LLC (Mike Prochaska from Ann Arbor),,6.52,1,Garfield Condominium,1,"n-Forest, e-John R, s-south side of Garfield, w-Woodward",75493.73046875,1136.43148561786
2006/01/06 00:00:00+00,0210/05/01 00:00:00+00,3.47,,2,3.43,,rehab,30 condos (rehab),94,"$175,000",Boulder Development LLC (based out of Royal Oak),,0.35,1,Canfield/John R,1,"Melrose Hotel (87 E. Canfield)/(n-Canfield, e-John R, s-Willis)",25400.44921875,722.270237041701
2006/03/29 00:00:00+00,0202/06/01 00:00:00+00,9.17,,23,12.65,,rehab,21 condos (rehab),95,"$145,000-$266,000",Newberry Hall Development LLC (Mike Prochaska from Ann Arbor),30,6.98,1,Newberry Hall,1,"Newberry Hall/(n-Willis, e-John R, s-Alexandrine,w-west side of Woodward)",93643.2265625,1578.83478566061
2006/04/12 00:00:00+00,1970/01/01 00:00:00+00,5.88,,85,7.97,,rehab,67 condos (rehab),96,market rate,Cadillac Residences Ltd.(Ferchill Group of Cleveland),67,5.63,0,Cadillac Residences Ltd.,,"Book Cadillac Hotel/n-State, e-Griswold, s-Lafayette, w-Wasington",58985.21875,963.818793847653
2006/05/17 00:00:00+00,1970/01/01 00:00:00+00,4.95,,10,6.37,,rehab,30 condos (rehab),97,"$189,000-$279,000",St. Regis Holdings LLC (Bayview Financial of Florida & Global GMC (Dwight Belyue) of Detroit),30,1.47,0,St. Regis Condominium,1,"St.Regis Hotel (n-north side W. Grand, e-Woodward, s-Milwaukee, w-e & w of Cass)",46026.78125,1135.28997531253
2006/07/12 00:00:00+00,0214/05/01 00:00:00+00,3.28,,18,5.03,,rehab,36 condos (rehab),98,"$127,000-$204,000","DPC LLC (Bingham Farms, MI & Phillip Roberts of Seattle, WA)",36,2.9,1,Cass Corner,1,"2467 Cass, 427 Henry & 2447 Cass (n-Henry, e-Cass, s-Fisher, w-2nd)",37231.09765625,835.823536667997
2006/07/26 00:00:00+00,1970/01/01 00:00:00+00,2.78,17,23,3.77,,new,17 houses (new),99,"$150,000-$175,000",Merit Builders & 3LK Construction (Charlie Grant of Detroit),,2.79,0,Cooley/Houghton,1,"near 7 & Lahser (n-St. Martins, e-Cooley, s-Vassar, w-Houghten)",28019.72265625,811.478213183942
2007/04/25 00:00:00+00,1970/01/01 00:00:00+00,1.72,132,11,2.29,,new,12 houses (new),100,"$102,900-$147,900",JLW,,1.39,0,Farr Street,1,"n-Selkirk, e-Mt. Elliott, s-Farr, w-Dwyer",16953.96875,654.864808628629
2006/10/20 00:00:00+00,1970/01/01 00:00:00+00,2,20,8,1.39,,mix,6 townhouses (rehab)/20 townhouses (new),101,"$145,000-$170,000",S&S Development Group (Sauda Shakoor-Ahmad),6,0.12,0,Merritt Place,,"n-Virginia Park, e-Merrill, s-Seward, w-east line of 1317 Virginia Park",10270.59375,597.497422990354
2006/11/01 00:00:00+00,1970/01/01 00:00:00+00,2.16,24,14,2.97,,new,24 houses (new),102,"$140,000-$180,000",People First Community Outreach/NPHC,,1.66,0,Rutland/Outer Drive,1,"n-Thatcher, e-west side Gilchrest, s-area north of Outer Dr, w-Lindsay",22078.06640625,661.265568978018
2007/01/03 00:00:00+00,0215/05/01 00:00:00+00,24.9,,18,27.88,,new,townhouses (new),103,"$190,000-$200,000",Meyers/Six Mile CHDO/Campus Square Development Company,,12.61,1,Campus Square,1,"n-Thatcher, e-n/s alley west of Pinehurst, s-Santa Clara, w-Meyers",203951.20703125,1860.49196062914
2007/01/16 00:00:00+00,1970/01/01 00:00:00+00,6.18,150,61,6.19,,new,GEI Development (Greater Emmanuel Institutional COGIC). $12m investment,104,"$278,000-$350,000",GEI Development (Greater Emmanuel Institutional COGIC),,6.18,,River Rouge Golf View,1,"n-Davison, e- east side of Greydale, s-Fullerton, w-east side of Dolson)",45901.78125,3030.8589605555
2007/04/25 00:00:00+00,1970/01/01 00:00:00+00,123.18,,102,128.93,,new,condos and townhomes (new). $30m investment,105,,"Bing, Bellyue, Bettis, etc.",,63.35,0,East Riverfront,,"n-E. Jefferson, e-Joseph Campau, s-River, w-Rivard extended",954235.0625,5920.44314524409
2007/04/25 00:00:00+00,1970/01/01 00:00:00+00,8.72,,90,11.04,,new,"60 houses, 40 condo, 20 town, 12 apart (new)",106,"$160,000-$250,000","Penn. Street LLC (George Stewart, Michael Byrd, Akunna Olumba, Colin Hubbell, J.C. Cataldo)",,6.86,0,Kercheval/McClellan (Penn. Street),1,"n-Kercheval, e-east side Penn, s-St. Paul, w-west side McClellan)",81751.3671875,1190.65230103991
2007/05/09 00:00:00+00,1970/01/01 00:00:00+00,10.8,8,60,14.35,,new,condos - 8 buildings. $50m total investment,107,,Motor City Construction,,7.52,0,Lower Woodward,,"n-Witherall, e-Broadway, Farmer, and Woodward, s-Gratiot, w-Griswold and Washington",106176.9375,1668.59694125122
2007/06/06 00:00:00+00,1970/01/01 00:00:00+00,123.06,80,604,122.69,,mix,80-100 houses (new) & 120-150 houses (rehab),108,"$145,000-$165,000",Church of the Messiah Housing Corp.,120,84.36,0,East Lafayette Village,1,"n-St. Paul & Lafayette, e-E. Grand, s-e. Jefferson, w-Mt. Elliott & 1st alley east Bellevue",908468.88671875,4267.05920471974
2007/09/18 00:00:00+00,1970/01/01 00:00:00+00,6.59,,12,10.02,,rehab,155-160 condos (rehab),109,"$90,000-$100,000",Northeast Commercial Services (NY Corp.),155,4.31,0,Book Building and Tower,,"n Grand Circus, e Washington s Michigan w Bagley",74268.70703125,1584.16819322822
2007/10/13 00:00:00+00,1970/01/01 00:00:00+00,4.96,,9,6.39,,rehab,24 condos (rehab),110,"$85,000",Covington Terrace LLC,24,3.48,0,Covington Terrace,1,"n Covington, s merton, w second",47434.7890625,1345.67377651155
2008/02/19 00:00:00+00,1970/01/01 00:00:00+00,6.11,15,42,7.78,,new,15 houses (new),111,"$112,000-$116,000",Bagley Housing Association,,5.36,0,Hubbard Farms Expansion,1,"n Toledo, e Clark, s Uthes, w McKinstry",57572.57421875,1172.53381522849
2008/02/26 00:00:00+00,1970/01/01 00:00:00+00,9.24,24,65,11.72,,new,24 townhomes (new),112,105000,Mt. Moriah Development Corp.,,7.97,0,Euclid Street Townhouse,1,"n Philadelphia, w Second, s Euclid, w Lodge",86889.5390625,1542.57736083191
2008/03/18 00:00:00+00,1970/01/01 00:00:00+00,91.22,85,540,93.44,,new,85 houses (new),113,"$94,500-$115,000",U-SNAP-BAC,,56.98,0,Morningside Community,,"n-warren, e-somerset, s-mack, w-alter",692824.33203125,4730.47670481365
2008/09/23 00:00:00+00,1970/01/01 00:00:00+00,28.96,100,260,28.92,,new,100 houses (new),114,,"Community Service Community Development
Corporation",,18.72,0,Triangle Housing Development,1,"n-Huber, e-Mt. Elliott, s-school, w-Vincent",214447.69921875,1877.40077006788
2008/12/09 00:00:00+00,1970/01/01 00:00:00+00,21.48,,38,6.6,,,,115,,"Taktix Solutions, LLC/Corktown Housing LLC",,3.92,0,Corktown North,1,"n spruce, e alley east vermont, s fisher, w wabash",48871.76171875,879.900185701889
2009/01/06 00:00:00+00,1970/01/01 00:00:00+00,2.83,,8,3.08,,new,new condos,116,,Nailah LLC (Julio Bateau),,1.22,0,East Ferry Expansion,1,"n palmer / ferry , e I-75 , s kirby , w brush",22806.953125,699.083964412467
2009/03/31 00:00:00+00,1970/01/01 00:00:00+00,16.16,,26,19.29,,rehab,condos (rehab),117,,"The Fort Shelby Residential
LLC",,12.93,0,Fort Shelby Hotel,1,"n lafayette , e cass , s congress , w third",142763.94140625,1544.65509869169
2010/01/20 00:00:00+00,1970/01/01 00:00:00+00,91.3,,427,96.26,,new,infill housing development,118,,Central Detroit Christian CDC,,65.95,0,Central Detroit Christian CDC,1,,713450.11328125,3403.84438306428
2010/11/23 00:00:00+00,1970/01/01 00:00:00+00,1.24,,7,1.25,,rehab,42 apartment units (rehab),119,1260000,Schostak Brothers & Company,42,0.75,0,Lofts of Merchants Row,,"n-Witherall, e-Broadway, Farmer, and Woodward, s-Gratiot, w-Griswold and Washington",9233.1875,530.957473715512
2011/02/08 00:00:00+00,1970/01/01 00:00:00+00,21.24,100,190,26.08,,new,100 single family units. $1.2m investment,120,,"Community First
— Paradise Valley, LLC",,16.71,0,Community First Paradise Valley,1,"n Arndt, e elmwood, s hunt, w Chene",193161.86328125,2474.53803101648
2011/02/08 00:00:00+00,1970/01/01 00:00:00+00,42.5,231,2,49.68,,new,231 new residential dwellings. $95m investment,121,$140000-190000,"Gardenview Development Company, LLC",,26.29,0,Gardenview Estates,1,,367885.09375,3658.38810131601
2012/09/04 00:00:00+00,1970/01/01 00:00:00+00,,,27,5.71,,,None,122,,P&DD,,3.14,0,Islandview II,,"St. Paul (N), Lafayette (S), Field (W) and Sheridan (E)",42299.421875,1285.12306395378
2013/09/03 00:00:00+00,1970/01/01 00:00:00+00,0.44,20,5,0.33,,new,20 residential housing units (shipping),123,"$30,620",Power of Green Housing,,0.31,0,Power of Green Housing,1,"W. Warren (N), eastern lot line of 1777 W. Warren (E), southern lot line of 4842 Rosa Parks (S) and Rosa Parks Blvd. (W)",2431.50390625,249.587935265549
2014/07/08 00:00:00+00,1970/01/01 00:00:00+00,5.3,,35,6.41,,rehab,"31 condos (rehab). $1,017,086 investment.",124,,Rocky DFD LLC,31,4.09,0,FD Lofts,,"n Eliot, e Riopelle, s Erskine, w Russell",47440.41796875,915.183244672296
2015/07/14 00:00:00+00,1970/01/01 00:00:00+00,0.37,316,1,0.36,,new,316 affordable housing units. $2200000 investment,125,,Town Residences LLC,,0.37,0,Town Residences,,1511 First parcel # 04003165-89,2651.5859375,212.238060551035
2015/07/21 00:00:00+00,1970/01/01 00:00:00+00,0.11,25,1,0.11,,new conversion,Convert loft space into 25 apts.,126,"$296,400",1215 Griswold LLC,,0.11,0,1215 Griswold,,1215 Griswold parcel #02002008,818.90234375,121.651262905537
2015/11/17 00:00:00+00,1970/01/01 00:00:00+00,0.18,8,1,0.18,792,new,8 new apts from shipping containers,127,"$26,000",Three Squared Inc,,0.18,0,Kaline Squared,,1833 Kaline parcel #080000577-8,1364.8671875,149.498213499021
2016/01/02 00:00:00+00,1970/01/01 00:00:00+00,0.21,208,1,0.21,916,new,new construction of 208 apts. $34.2m investment,128,"$92,000",Stapler Industries LLC,,0.21,0,Stapler Industries LLC,,1416 Griswold Parcel #020020000,1530.44140625,162.535159674471
2016/03/15 00:00:00+00,1970/01/01 00:00:00+00,0.23,14,1,0.23,1021,new,14 new condo units,129,,The Ferlito Group,,0.23,0,The Ferlito Group,,438 Selden parcel #02000816,1673.40234375,203.891218587676
2016/03/15 00:00:00+00,1970/01/01 00:00:00+00,1.56,290,1,1.67,924,new,contruction of 290 market rate appts.,130,market rate,VG Statler City LLC,,1.67,0,VG Statler City LLC,,"Area generally bound by Park, Washington, Clifford, and Bagley - parcels 02000291, 02000292-3, 02000315, 02000316, 02000317",12365.26171875,461.410367515892
2016/07/19 00:00:00+00,1970/01/01 00:00:00+00,8.44,325,36,11.73,971,new,325-450 new market rate condo units,131,80000,Brush Park Development Company Phase 1 LLC,,6.82,0,Brush Park Development Company Phase I,,"Area generally bounded by Edmund, John R., Division, Adelaide, and Woodward Ave",86841.4765625,1503.85949547493
2016/09/12 00:00:00+00,1970/01/01 00:00:00+00,4.16,150,,4.49,1241,new,150 new rental units,132,,Trident-Checker LLC,,,0,Trident-Checker LLC,,"Old Tiger Stadium area 2026-2130 Trumbull,1355-1434 W. Elizabeth,2110-2128 Eight,3121-1341 Plum, 2133-2141 Brooklyn, 1326-1332 W Elizabeth",33200.015625,1381.22286673917
2016/11/20 00:00:00+00,1970/01/01 00:00:00+00,0.84,,1,0.84,3311,rehab,31 appartment units rehab,133,816200,Yesre Realty LLC,31,0.84,0,Yesre Realty,,7441 Second parcels #04001594-600,6248.56640625,345.139913786578
2017/11/14 00:00:00+00,1970/01/01 00:00:00+00,0.84,,3,0.92,1741,rehab,rehab of residential units in the Book Building and Book Tower (13 & 38 floors),134,market rate,Innovative Acquisitions LLC,,0.92,0,Innovative Acquisitions LLC,,"1201,1249 and 1265 Washington Blvd parcels 02000298, 02000299 and 02000300",6819.7265625,400.214666628002
2017/11/14 00:00:00+00,1970/01/01 00:00:00+00,0.14,,1,0.13,1357,rehab,David Stott Bldg 28 floors of residential units,135,market rate,"Paperclip Properties, LLC",,0.13,0,Paperclip Properties LLC,,1150 Griswold parcel #001994,962.31640625,124.221758636865
2017/11/14 00:00:00+00,1970/01/01 00:00:00+00,2.17,250,1,2.18,1739,new,new construcction of 250 residential units,136,market rate,Rosko Development Company LLC,,0.35,0,Rosko Development (Hudson's Site),,1206 & 1208 Woodward parcels 01004110-4 and 01004115-9,16113.4765625,534.190502410746
2017/11/14 00:00:00+00,1970/01/01 00:00:00+00,3.14,,1,3.83,1744,new,new construction of a 16-story residential tower.,137,market rate,Rosko Development Company LLC,,0.14,0,Rosko Development (Monroe Blocks),,"area bordered by Monroe, Randolph, Bates, Cadillac Square and Woodward Avenue",28314.0703125,817.22183119981
2017/11/21 00:00:00+00,1970/01/01 00:00:00+00,0.63,,1,0.63,1722,new conversion,Residential units in the former Free Press Building on floors 4-14,138,market rate,Pyramid Development Co LLC,,0.63,0,Pyramid Development LLC,,321 W Lafayette Blvd parcel #120000196,4697.3203125,282.561294704394
